Country,Year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u,Population_Density,Birth_Rate,Child_Mortality
Denmark,2020,5792.203125,88.11600494,100.0000011,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,145.7851,10.4,3.6787
Malta,2020,441.5390015,94.7440033,100.0000004,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,1610.4125,8.6,5.9837
Nauru,2015,10.3739996,100.0,100.0,0.0,0.0,0.0,,,,,100.0,0.0,0.0,0,559.25,31.856,33.3006
Nauru,2020,10.83399963,100.0,100.0,0.0,0.0,0.0,,,,,100.0,0.0,0.0,0,615.75,28.364,28.578
Tuvalu,2015,11.09899998,59.72999954,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,362.566666666667,22.359,26.1029
Tuvalu,2020,11.79199982,64.01399994,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,368.966666666667,23.632,21.9277
Monaco,2015,37.72299957,100.0,100.0,0.0,0.0,0.0,,,,,100.0,0.0,0.0,0,18135.1751356685,8.1,3.5208
Monaco,2020,39.24399948,100.0,100.0,0.0,0.0,0.0,,,,,100.0,0.0,0.0,0,18215.0962012827,,3.0161
Malta,2015,433.5589905,94.41400146,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,1390.790625,9.7,6.5967
Singapore,2015,5592.143066,100.0,100.0,0.0,0.0,0.0,,,,,100.0,0.0,0.0,0,7806.77291960508,9.7,2.7386
Singapore,2020,5850.342773,100.0,100.0,0.0,0.0,0.0,,,,,100.0,0.0,0.0,0,7918.95125348189,8.5,2.234
Turkmenistan,2020,6031.187012,52.51600266,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,13.3007852233311,22.294,42.2162
Switzerland,2015,8296.775391,73.71800232,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0,209.626620751132,10.5,4.2901
